sep=;
time;model_id;model_name;port_name;data
0;1;(14,14);;<3>
0;2;(13,14);;<3>
0;3;(12,14);;<3>
0;4;(8,14);;<3>
0;5;(7,14);;<3>
0;6;(6,14);;<3>
0;7;(4,14);;<3>
0;8;(2,14);;<3>
0;9;(1,14);;<3>
0;10;(13,13);;<3>
0;11;(10,13);;<3>
0;12;(8,13);;<3>
0;13;(5,13);;<3>
0;14;(2,13);;<3>
0;15;(11,12);;<3>
0;16;(10,12);;<3>
0;17;(3,14);;<3>
0;18;(8,12);;<3>
0;19;(2,12);;<3>
0;20;(14,11);;<3>
0;21;(13,11);;<3>
0;22;(12,11);;<3>
0;23;(6,11);;<3>
0;24;(5,11);;<3>
0;25;(4,11);;<3>
0;26;(6,12);;<3>
0;27;(3,11);;<3>
0;28;(7,12);;<3>
0;29;(13,10);;<3>
0;30;(12,10);;<3>
0;31;(11,10);;<3>
0;32;(10,10);;<3>
0;33;(9,14);;<3>
0;34;(9,11);;<3>
0;35;(8,10);;<3>
0;36;(7,10);;<3>
0;37;(6,10);;<3>
0;38;(5,10);;<3>
0;39;(3,10);;<3>
0;40;(11,14);;<3>
0;41;(2,10);;<3>
0;42;(1,10);;<3>
0;43;(7,9);;<3>
0;44;(4,10);;<3>
0;45;(5,9);;<3>
0;46;(3,9);;<3>
0;47;(2,9);;<3>
0;48;(11,8);;<3>
0;49;(10,8);;<3>
0;50;(9,8);;<3>
0;51;(9,13);;<3>
0;52;(7,8);;<3>
0;53;(6,8);;<3>
0;54;(5,8);;<3>
0;55;(4,8);;<3>
0;56;(13,7);;<3>
0;57;(12,7);;<3>
0;58;(10,7);;<3>
0;59;(5,7);;<3>
0;60;(4,7);;<3>
0;61;(2,7);;<3>
0;62;(1,7);;<3>
0;63;(1,8);;<3>
0;64;(14,6);;<3>
0;65;(13,6);;<3>
0;66;(10,6);;<3>
0;67;(9,6);;<3>
0;68;(11,9);;<3>
0;69;(8,6);;<3>
0;70;(10,11);;<3>
0;71;(8,9);;<3>
0;72;(7,6);;<3>
0;73;(5,6);;<3>
0;74;(4,6);;<3>
0;75;(2,6);;<3>
0;76;(1,6);;<3>
0;77;(3,6);;<3>
0;78;(14,5);;<3>
0;79;(12,5);;<3>
0;80;(14,9);;<3>
0;81;(11,5);;<3>
0;82;(10,5);;<3>
0;83;(9,5);;<3>
0;84;(8,15);;<11>
0;85;(13,5);;<3>
0;86;(7,1);;<3>
0;87;(1,3);;<3>
0;88;(12,6);;<3>
0;89;(11,3);;<3>
0;90;(5,12);;<3>
0;91;(7,3);;<3>
0;92;(0,10);;<11>
0;93;(6,2);;<3>
0;94;(15,7);;<11>
